Feature_Group,Model,CV_Mean_Accuracy
all_features,LogisticRegression,0.9681818181818181
all_features,KNN,0.965340909090909
all_features,SVM,0.9789772727272726
all_features,DecisionTree,0.9852272727272728
all_features,RandomForest,0.9943181818181819
all_features,XGBoost,0.9914772727272727
all_features,LightGBM,0.9914772727272727
soil_only,LogisticRegression,0.6642045454545455
soil_only,KNN,0.7477272727272727
soil_only,SVM,0.749431818181818
soil_only,DecisionTree,0.7670454545454545
soil_only,RandomForest,0.809659090909091
soil_only,XGBoost,0.802840909090909
soil_only,LightGBM,0.7977272727272726
climate_only,LogisticRegression,0.7585227272727273
climate_only,KNN,0.8676136363636363
climate_only,SVM,0.85
climate_only,DecisionTree,0.8846590909090908
climate_only,RandomForest,0.9125
climate_only,XGBoost,0.90625
climate_only,LightGBM,0.897159090909091
